filepath,label
ESC-50/audio/1-100210-A-36.wav,background
ESC-50/audio/1-100210-B-36.wav,background
ESC-50/audio/1-104089-A-22.wav,background
ESC-50/audio/1-104089-B-22.wav,background
ESC-50/audio/1-105224-A-22.wav,background
ESC-50/audio/1-110537-A-22.wav,background
ESC-50/audio/1-115920-A-22.wav,background
ESC-50/audio/1-115920-B-22.wav,background
ESC-50/audio/1-115921-A-22.wav,background
ESC-50/audio/1-118559-A-17.wav,background
ESC-50/audio/1-137296-A-16.wav,background
ESC-50/audio/1-17367-A-10.wav,background
ESC-50/audio/1-1791-A-26.wav,background
ESC-50/audio/1-18631-A-23.wav,background
ESC-50/audio/1-19840-A-36.wav,background
ESC-50/audio/1-19872-A-36.wav,background
ESC-50/audio/1-19872-B-36.wav,background
ESC-50/audio/1-21189-A-10.wav,background
ESC-50/audio/1-21934-A-38.wav,background
ESC-50/audio/1-21935-A-38.wav,background
ESC-50/audio/1-26222-A-10.wav,background
ESC-50/audio/1-29532-A-16.wav,background
ESC-50/audio/1-29561-A-10.wav,background
ESC-50/audio/1-30039-A-26.wav,background
ESC-50/audio/1-30043-A-26.wav,background
ESC-50/audio/1-30709-A-23.wav,background
ESC-50/audio/1-30709-B-23.wav,background
ESC-50/audio/1-30709-C-23.wav,background
ESC-50/audio/1-33658-A-26.wav,background
ESC-50/audio/1-35687-A-38.wav,background
ESC-50/audio/1-36164-A-26.wav,background
ESC-50/audio/1-36164-B-26.wav,background
ESC-50/audio/1-36393-A-23.wav,background
ESC-50/audio/1-36397-A-23.wav,background
ESC-50/audio/1-36400-A-23.wav,background
ESC-50/audio/1-36402-A-23.wav,background
ESC-50/audio/1-42139-A-38.wav,background
ESC-50/audio/1-46744-A-36.wav,background
ESC-50/audio/1-47709-A-16.wav,background
ESC-50/audio/1-47714-A-16.wav,background
ESC-50/audio/1-48413-A-38.wav,background
ESC-50/audio/1-50060-A-10.wav,background
ESC-50/audio/1-50625-A-17.wav,background
ESC-50/audio/1-50688-A-17.wav,background
ESC-50/audio/1-51035-A-16.wav,background
ESC-50/audio/1-51036-A-16.wav,background
ESC-50/audio/1-51037-A-16.wav,background
ESC-50/audio/1-51433-A-17.wav,background
ESC-50/audio/1-51436-A-17.wav,background
ESC-50/audio/1-54958-A-10.wav,background
ESC-50/audio/1-56311-A-10.wav,background
ESC-50/audio/1-57163-A-38.wav,background
ESC-50/audio/1-60460-A-36.wav,background
ESC-50/audio/1-61221-A-17.wav,background
ESC-50/audio/1-62849-A-38.wav,background
ESC-50/audio/1-62850-A-38.wav,background
ESC-50/audio/1-63871-A-10.wav,background
ESC-50/audio/1-67152-A-17.wav,background
ESC-50/audio/1-69760-A-16.wav,background
ESC-50/audio/1-72695-A-26.wav,background
ESC-50/audio/1-73123-A-26.wav,background
ESC-50/audio/1-79220-A-17.wav,background
ESC-50/audio/1-79236-A-36.wav,background
ESC-50/audio/1-94036-A-22.wav,background
ESC-50/audio/2-101676-A-10.wav,background
ESC-50/audio/2-102414-A-17.wav,background
ESC-50/audio/2-102414-B-17.wav,background
ESC-50/audio/2-102414-C-17.wav,background
ESC-50/audio/2-102414-D-17.wav,background
ESC-50/audio/2-102414-E-17.wav,background
ESC-50/audio/2-102414-F-17.wav,background
ESC-50/audio/2-102414-G-17.wav,background
ESC-50/audio/2-104952-A-16.wav,background
ESC-50/audio/2-104952-B-16.wav,background
ESC-50/audio/2-106072-A-36.wav,background
ESC-50/audio/2-106073-A-36.wav,background
ESC-50/audio/2-109371-A-16.wav,background
ESC-50/audio/2-109371-B-16.wav,background
ESC-50/audio/2-109371-C-16.wav,background
ESC-50/audio/2-109371-D-16.wav,background
ESC-50/audio/2-109374-A-16.wav,background
ESC-50/audio/2-109759-A-26.wav,background
ESC-50/audio/2-109759-B-26.wav,background
ESC-50/audio/2-117625-A-10.wav,background
